No,Category,earlier_stim,later_stim,distance,congruency,orientation,instruction,corr_resp,Instruction_stim,early_position,late_position
44,Month,November ,August,3,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
43,Month,October ,July,3,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
40,Month,July,April,3,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
49,Month,July,April,3,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
42,Month,September ,June,3,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
52,Month,October ,July,3,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
41,Month,August,May,3,incongruent,Hori,early,right,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
48,Month,June,March,3,incongruent,Hori,late,left,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
62,Month,November ,August,3,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
55,Month,April,January,3,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
59,Month,August,May,3,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
65,Month,May,February,3,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
58,Month,July,April,3,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
67,Month,July,April,3,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
72,Month,December,September ,3,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
61,Month,October ,July,3,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
63,Month,December,September ,3,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
66,Month,June,March,3,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
71,Month,November ,August,3,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
57,Month,June,March,3,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
60,Month,September ,June,3,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
56,Month,May,February,3,incongruent,Vert,early,down,image/Eng_early.png,"[0,0.3]","[0,-0.3]"
64,Month,April,January,3,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
70,Month,October ,July,3,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
68,Month,August,May,3,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
69,Month,September ,June,3,incongruent,Vert,late,up,image/Eng_late.png,"[0,0.3]","[0,-0.3]"
9,Month,January,May,4,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
3,Month,March,July,4,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
13,Month,May,September ,4,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
5,Month,May,September ,4,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
11,Month,March,July,4,congruent,Hori,late,right,image/Eng_late.png,"[-0.3,0]","[0.3,0]"
7,Month,July,November ,4,congruent,Hori,early,left,image/Eng_early.png,"[-0.3,0]","[0.3,0]"
